Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R0493,25–34,"Single, no dependents",Rural,0,Unemployed,"₹20,001–₹50,000",Irregular but manageable,"Below ₹10,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",3–5,Quarterly,Invest & Grow Wealth|Pay Off Debt|Save for Vacation,11–20%,Lack of Financial Knowledge,3 – Moderately confident,4 – Often,"No, and I don't plan to",Used before but stopped,3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Probably No,College Student / Early Career
R0494,25–34,"Married, with children",Metro (Tier 1),1,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹25,001–₹50,000",Groceries & Food|Rent & Housing,Often (6+ times/month),Social media influence|Social pressure or peer influence,3–5,Rarely,Invest & Grow Wealth|Pay Off Debt|Retirement Planning,11–20%,No Budgeting Discipline|Overspending,5 – Extremely confident,4 – Often,"No, but I want to",Used before but stopped,5 – Very High,Neutral,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Maybe,Young Urban Professional
R0495,35–44,"Married, with children",Metro (Tier 1),3,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Transportation,Rarely (1–2 times/month),Celebrations or festivals,3–5,Monthly,Children's Education|Pay Off Debt,11–20%,High EMIs or Debt|Lack of Financial Knowledge,4 – Very confident,5 – Almost always,"No, but I want to",Used before but stopped,2 – Low,Somewhat comfortable,Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Middle-Income Family Provider
R0496,25–34,"Married, with children",Metro (Tier 1),1,Salaried (Government),"₹1,00,001–₹2,00,000",Irregular but manageable,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Education|Rent & Housing,Rarely (1–2 times/month),Celebrations or festivals,3–5,Rarely,"Children's Education|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",11–20%,High EMIs or Debt|Low or Irregular Income,3 – Moderately confident,3 – Sometimes,"Yes, loosely",Used before but stopped,5 – Very High,Very uncomfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking,₹49–₹99,Probably No,Middle-Income Family Provider
R0497,45–54,"Married, with children",Tier 3,3,Self-employed,"Below ₹20,000",Irregular but manageable,"₹25,001–₹50,000",EMIs & Loan Repayments|Groceries & Food|Rent & Housing,Never,I rarely spend impulsively,1–2,Quarterly,Build Emergency Fund,11–20%,Low or Irregular Income,2 – Slightly confident,2 – Rarely,"No, but I want to","No, never used one",5 – Very High,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹200–₹499,Probably No,Small Town Conservative Saver
R0498,25–34,"Married, no children",Metro (Tier 1),1,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000",EMIs & Loan Repayments,Sometimes (3–5 times/month),Social pressure or peer influence,1–2,Monthly,"Invest & Grow Wealth|Retirement Planning|Save for Major Purchase (Home, Car)",0% (No savings),High EMIs or Debt,5 – Extremely confident,4 – Often,"Yes, loosely",Used before but stopped,3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Maybe,Young Urban Professional
R0499,18–24,"Married, with children",Metro (Tier 1),1,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Entertainment & Dining Out|Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),Celebrations or festivals|Social media influence,1–2,Monthly,Invest & Grow Wealth,21–30%,High Cost of Living|Lack of Financial Knowledge,4 – Very confident,2 – Rarely,"Yes, loosely",Used before but stopped,3 – Average,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹100–₹199,Maybe,Aspiring Digital-First Millennial
R0500,25–34,"Married, no children",Metro (Tier 1),2,Salaried (Private),"₹20,001–₹50,000",Irregular but manageable,"₹10,001–₹25,000","Subscriptions (OTT, Gym, etc.)|Transportation",Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",6+,Monthly,Build Emergency Fund|Invest & Grow Wealth|Save for Vacation,1–10%,High EMIs or Debt,3 – Moderately confident,4 – Often,"Yes, loosely","No, never used one",5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Aspiring Digital-First Millennial
R0501,25–34,"Single, no dependents",Tier 2,1,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000",Groceries & Food|Shopping & Fashion|Transportation,Never,I rarely spend impulsively,3–5,Quarterly,"Children's Education|Save for Major Purchase (Home, Car)|Save for Vacation",Above 30%,No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"No, but I want to","No, never used one",4 – High,Very comfortable,Subscription & Money Leak Detection,₹100–₹199,Maybe,High-Income Low-Awareness Spender
R0502,45–54,Joint family (supporting elders),Tier 3,3,Retired,"₹1,00,001–₹2,00,000",Highly unpredictable,"Below ₹10,000",EMIs & Loan Repayments|Education,Rarely (1–2 times/month),I rarely spend impulsively,None,Monthly,Pay Off Debt|Retirement Planning,1–10%,No Budgeting Discipline,4 – Very confident,4 – Often,"No, but I want to","No, never used one",1 – Very Low,Very uncomfortable,Subscription & Money Leak Detection,₹0 (Free only),Maybe,Small Town Conservative Saver
R0503,18–24,"Single, no dependents",Metro (Tier 1),0,Freelancer or Gig Worker,"₹20,001–₹50,000",Mostly stable with some variation,"Below ₹10,000",Groceries & Food|Shopping & Fashion|Transportation,Often (6+ times/month),"Flash sales, discounts & offers",3–5,Monthly,Build Emergency Fund,Above 30%,No Budgeting Discipline,1 – Not confident at all,2 – Rarely,"No, but I want to","No, never used one",1 – Very Low,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Definitely No,College Student / Early Career
R0504,35–44,"Married, with children",Metro (Tier 1),1,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing,Often (6+ times/month),"Emotional stress or boredom|Flash sales, discounts & offers",1–2,Weekly,Children's Education,21–30%,Lack of Financial Knowledge|Overspending,2 – Slightly confident,3 – Sometimes,"No, but I want to","No, never used one",3 – Average,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably No,Gig Worker / Irregular Income
R0505,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Government),"₹20,001–₹50,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Healthcare|Rent & Housing|Shopping & Fashion,Often (6+ times/month),Celebrations or festivals|Social media influence,6+,Rarely,Save for Vacation,11–20%,Lack of Financial Knowledge|No Budgeting Discipline,3 – Moderately confident,2 – Rarely,"No, but I want to","Yes, currently using one",5 – Very High,Very uncomfortable,Financial Health Score with Peer Benchmarking,₹0 (Free only),Probably No,High-Income Low-Awareness Spender
R0506,18–24,"Single, no dependents",Metro (Tier 1),1,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000",Entertainment & Dining Out|Healthcare|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",6+,Monthly,"Save for Major Purchase (Home, Car)",21–30%,Overspending|Unexpected Expenses,1 – Not confident at all,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Somewhat comfortable,Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Probably No,Young Urban Professional
R0507,25–34,"Married, no children",Metro (Tier 1),0,Salaried (Private),"₹1,00,001–₹2,00,000",Irregular but manageable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",3–5,Quarterly,Build Emergency Fund|Children's Education|Invest & Grow Wealth,Above 30%,High Cost of Living,5 – Extremely confident,2 – Rarely,"No, but I want to","No, never used one",4 – High,Very comfortable,AI Savings Recommendations & Goal Engine,₹100–₹199,Maybe,Aspiring Digital-First Millennial
R0508,35–44,"Married, with children",Tier 2,3,Freelancer or Gig Worker,"Below ₹20,000",Irregular but manageable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Monthly,Build Emergency Fund,1–10%,Low or Irregular Income|Overspending,2 – Slightly confident,4 – Often,"Yes, loosely","No, never used one",5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Definitely Yes,Gig Worker / Irregular Income
R0509,45–54,"Married, with children",Tier 3,1,Salaried (Private),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Entertainment & Dining Out|Groceries & Food|Healthcare,Sometimes (3–5 times/month),Social pressure or peer influence,3–5,Weekly,"Build Emergency Fund|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",Above 30%,Overspending,4 – Very confident,3 – Sometimes,"No, and I don't plan to","No, never used one",5 – Very High,Very comfortable,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Probably Yes,Aspiring Digital-First Millennial
R0510,35–44,"Married, with children",Metro (Tier 1),1,Self-employed,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social pressure or peer influence,6+,Never,Pay Off Debt|Retirement Planning|Save for Vacation,11–20%,High Cost of Living|Overspending,5 – Extremely confident,2 – Rarely,"No, and I don't plan to","No, never used one",4 – High,Very comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,High-Income Low-Awareness Spender
R0511,35–44,"Married, no children",Rural,3,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Education|Groceries & Food|Other,Sometimes (3–5 times/month),"Flash sales, discounts & offers|I rarely spend impulsively",None,Rarely,"Build Emergency Fund|Children's Education|Save for Major Purchase (Home, Car)",21–30%,High Cost of Living,5 – Extremely confident,2 – Rarely,"No, and I don't plan to","No, never used one",3 – Average,Neutral,Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Maybe,Small Town Conservative Saver
R0512,35–44,"Married, with children",Tier 2,1,Unemployed,"Above ₹2,00,000",Mostly stable with some variation,"₹10,001–₹25,000",Education|Rent & Housing,Rarely (1–2 times/month),I rarely spend impulsively|Social pressure or peer influence,1–2,Quarterly,Build Emergency Fund,1–10%,High EMIs or Debt|Unexpected Expenses,4 – Very confident,3 – Sometimes,"Yes, strictly","No, never used one",2 – Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Middle-Income Family Provider
R0513,45–54,"Married, no children",Tier 2,2,Freelancer or Gig Worker,"₹20,001–₹50,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Education|Groceries & Food|Shopping & Fashion,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",1–2,Monthly,Build Emergency Fund|Invest & Grow Wealth,Above 30%,No Budgeting Discipline|Overspending,3 – Moderately confident,4 – Often,"Yes, strictly",Used before but stopped,4 – High,Very comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹500+,Maybe,Aspiring Digital-First Millennial
R0514,55+,Joint family (supporting elders),Tier 2,2,Retired,"Below ₹20,000",Very stable (fixed salary),"₹10,001–₹25,000",Groceries & Food|Transportation,Never,I rarely spend impulsively,1–2,Rarely,Children's Education,21–30%,Lack of Financial Knowledge,5 – Extremely confident,2 – Rarely,"Yes, loosely","No, never used one",4 – High,Neutral,AI Savings Recommendations & Goal Engine,₹0 (Free only),Definitely No,Retired / Senior Citizen
R0515,25–34,Joint family (supporting elders),Metro (Tier 1),4+,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Irregular but manageable,"₹10,001–₹25,000","Entertainment & Dining Out|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",1–2,Weekly,Save for Vacation,21–30%,Overspending,3 – Moderately confident,2 – Rarely,"No, but I want to","No, never used one",4 – High,Somewhat comfortable,Financial Health Score with Peer Benchmarking,₹100–₹199,Probably No,Young Urban Professional
R0516,35–44,Joint family (supporting elders),Metro (Tier 1),4+,Unemployed,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000",Entertainment & Dining Out|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",3–5,Quarterly,"Invest & Grow Wealth|No Specific Goal|Save for Major Purchase (Home, Car)",11–20%,High EMIs or Debt|Overspending,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","Yes, currently using one",2 – Low,Very comfortable,Automatic Expense Tracking & Smart Categorization,₹200–₹499,Maybe,Young Urban Professional
R0517,25–34,"Married, with children",Metro (Tier 1),3,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Education,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|I rarely spend impulsively",3–5,Rarely,Invest & Grow Wealth|Retirement Planning,11–20%,High EMIs or Debt,3 – Moderately confident,4 – Often,"Yes, loosely","Yes, currently using one",3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Middle-Income Family Provider
R0518,35–44,"Single, no dependents",Tier 2,1,Unemployed,"Above ₹2,00,000",Irregular but manageable,"₹10,001–₹25,000",Groceries & Food|Healthcare|Transportation,Sometimes (3–5 times/month),"Flash sales, discounts & offers",1–2,Monthly,Invest & Grow Wealth,11–20%,Lack of Financial Knowledge,2 – Slightly confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Neutral,Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹100–₹199,Probably Yes,Gig Worker / Irregular Income
